Termination Id,Termination Reason,Business unit,Tenure Range,Age,Gender,Organization level,day,month,Year,Country,Age Range,Date,Quarter,QuarterYear
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,United States,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Malaysia,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Germany,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,India,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,India,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,India,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Malaysia,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Germany,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,United States,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,India,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Australia,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Germany,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,India,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Canada,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Germany,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,United States,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Malaysia,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Germany,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Australia,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Malaysia,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Canada,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,India,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Malaysia,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,United States,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,India,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Australia,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Germany,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,India,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Canada,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Germany,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,United States,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,Malaysia,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Germany,20 - 30,19-09-2018,Q3,2018-Q3
20,Retirement,Retail,5,26,Female,Operational,20,8,2021,Australia,20 - 30,20-08-2021,Q3,2021-Q3
21,Retirement,Retail,6,27,Female,Operational,21,9,2018,Malaysia,20 - 30,21-09-2018,Q3,2018-Q3
22,Retirement,Retail,-1,23,Female,Operational,22,10,2019,Canada,20 - 30,22-10-2019,Q4,2019-Q4
79,Retirement,Retail,-1,22,Female,Operational,17,7,2020,India,20 - 30,17-07-2020,Q3,2020-Q3
81,Retirement,Retail,8,29,Male,Operational,19,9,2018,Malaysia,20 - 30,19-09-2018,Q3,2018-Q3
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,Germany,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,Germany,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,Australia,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,India,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,India,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,Australia,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,Malaysia,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,Canada,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,India,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,Australia,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,India,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,United States,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,India,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,Australia,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,Malaysia,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,Malaysia,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,United States,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Germany,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Germany,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,United States,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,India,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,Australia,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,Germany,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,United States,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,Germany,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,Canada,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,Germany,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,United States,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,India,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,India,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,Canada,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Malaysia,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Malaysia,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,Canada,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,Germany,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,United States,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,Malaysia,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,Canada,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,Malaysia,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,Australia,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,Malaysia,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,Canada,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,India,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,India,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,Australia,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Malaysia,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Malaysia,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,Canada,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,Germany,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,United States,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,Canada,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,Germany,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,Canada,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,India,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,India,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,Australia,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,Malaysia,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,Malaysia,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,United States,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Germany,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Germany,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,United States,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,India,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,Australia,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,Germany,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,United States,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,Germany,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,Canada,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,Germany,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,United States,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,India,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,India,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,Canada,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Malaysia,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Malaysia,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,Canada,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,Germany,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,United States,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,Malaysia,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,Canada,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,Malaysia,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,Australia,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,Malaysia,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,Canada,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,Germany,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,Germany,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,Australia,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,India,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,India,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,Australia,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,Malaysia,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,Canada,20 - 30,26-04-2021,Q2,2021-Q2
115,Inappropriate Behaviour,Retail,5,28,Female,Operational,22,7,2020,India,20 - 30,22-07-2020,Q3,2020-Q3
116,Inappropriate Behaviour,Retail,6,30,Female,Operational,23,8,2021,Australia,20 - 30,23-08-2021,Q3,2021-Q3
121,Refusing to follow Instruction,Retail,4,30,Female,Operational,25,1,2018,India,20 - 30,25-01-2018,Q1,2018-Q1
144,Dangerous Behaviour,Retail,-1,23,Male,Operational,20,12,2019,United States,20 - 30,20-12-2019,Q4,2019-Q4
145,Dangerous Behaviour,Retail,4,28,Male,Operational,21,1,2018,India,20 - 30,21-01-2018,Q1,2018-Q1
146,Dangerous Behaviour,Retail,5,30,Male,Operational,22,2,2019,Australia,20 - 30,22-02-2019,Q1,2019-Q1
11,Refusing to follow Instruction,Retail,-1,23,Female,Operational,11,11,2020,Malaysia,20 - 30,11-11-2020,Q4,2020-Q4
29,Position Elimation,Retail,2,24,Female,Operational,25,5,2018,Malaysia,20 - 30,25-05-2018,Q2,2018-Q2
50,Position Elimation,Retail,3,28,Female,Operational,19,2,2019,United States,20 - 30,19-02-2019,Q1,2019-Q1
67,Dishonesty,Retail,4,30,Female,Operational,5,7,2020,Germany,20 - 30,07-05-2020,Q2,2020-Q2
85,Punctuality,Retail,3,26,Female,Operational,23,1,2018,Germany,20 - 30,23-01-2018,Q1,2018-Q1
86,Punctuality,Retail,4,28,Female,Operational,24,2,2019,United States,20 - 30,24-02-2019,Q1,2019-Q1
87,Punctuality,Retail,2,30,Female,Operational,25,3,2020,India,20 - 30,25-03-2020,Q1,2020-Q1
88,Punctuality,Retail,1,25,Female,Operational,26,4,2021,Australia,20 - 30,26-04-2021,Q2,2021-Q2
